url,html_path,text_path,text_length,status,page_type
https://www.deakin.edu.au/international-students/why-study-in-australia/living-in-australia,data_ingestion/deakin/output/raw_html/international-students__why-study-in-australia__living-in-australia.html,data_ingestion/deakin/output/clean_text/international-students__why-study-in-australia__living-in-australia.txt,4499,saved,international_info
https://www.deakin.edu.au/international-students/why-study-in-australia/living-in-australia/geelong,data_ingestion/deakin/output/raw_html/international-students__why-study-in-australia__living-in-australia__geelong.html,data_ingestion/deakin/output/clean_text/international-students__why-study-in-australia__living-in-australia__geelong.txt,6027,saved,international_info
https://www.deakin.edu.au/international-students/why-study-in-australia/living-in-australia/health-and-safety,data_ingestion/deakin/output/raw_html/international-students__why-study-in-australia__living-in-australia__health-and-safety.html,data_ingestion/deakin/output/clean_text/international-students__why-study-in-australia__living-in-australia__health-and-safety.txt,4933,saved,international_info
https://www.deakin.edu.au/international-students/why-study-in-australia/living-in-australia/living-costs,data_ingestion/deakin/output/raw_html/international-students__why-study-in-australia__living-in-australia__living-costs.html,data_ingestion/deakin/output/clean_text/international-students__why-study-in-australia__living-in-australia__living-costs.txt,2256,saved,international_info
https://www.deakin.edu.au/international-students/why-study-in-australia/living-in-australia/melbourne,data_ingestion/deakin/output/raw_html/international-students__why-study-in-australia__living-in-australia__melbourne.html,data_ingestion/deakin/output/clean_text/international-students__why-study-in-australia__living-in-australia__melbourne.txt,5654,saved,international_info
https://www.deakin.edu.au/international-students/why-study-in-australia/living-in-australia/support,data_ingestion/deakin/output/raw_html/international-students__why-study-in-australia__living-in-australia__support.html,data_ingestion/deakin/output/clean_text/international-students__why-study-in-australia__living-in-australia__support.txt,3489,saved,international_info
https://www.deakin.edu.au/international-students/why-study-in-australia/living-in-australia/transport,data_ingestion/deakin/output/raw_html/international-students__why-study-in-australia__living-in-australia__transport.html,data_ingestion/deakin/output/clean_text/international-students__why-study-in-australia__living-in-australia__transport.txt,4708,saved,international_info
https://www.deakin.edu.au/international-students/why-study-in-australia/living-in-australia/warrnambool,data_ingestion/deakin/output/raw_html/international-students__why-study-in-australia__living-in-australia__warrnambool.html,data_ingestion/deakin/output/clean_text/international-students__why-study-in-australia__living-in-australia__warrnambool.txt,4960,saved,international_info
https://www.deakin.edu.au/international-students/why-study-in-australia/living-in-australia/working,data_ingestion/deakin/output/raw_html/international-students__why-study-in-australia__living-in-australia__working.html,data_ingestion/deakin/output/clean_text/international-students__why-study-in-australia__living-in-australia__working.txt,2791,saved,international_info
https://www.deakin.edu.au/international-students/why-study-in-australia/parents-and-families,data_ingestion/deakin/output/raw_html/international-students__why-study-in-australia__parents-and-families.html,data_ingestion/deakin/output/clean_text/international-students__why-study-in-australia__parents-and-families.txt,6416,saved,international_info
https://www.deakin.edu.au/course/bachelor-artificial-intelligence-erc-institute-international,data_ingestion/deakin/output/raw_html/course__bachelor-artificial-intelligence-erc-institute-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-artificial-intelligence-erc-institute-international.txt,17594,saved,course
https://www.deakin.edu.au/course/bachelor-artificial-intelligence-honours-international,data_ingestion/deakin/output/raw_html/course__bachelor-artificial-intelligence-honours-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-artificial-intelligence-honours-international.txt,20746,saved,course
https://www.deakin.edu.au/course/bachelor-artificial-intelligence-international,data_ingestion/deakin/output/raw_html/course__bachelor-artificial-intelligence-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-artificial-intelligence-international.txt,20236,saved,course
https://www.deakin.edu.au/course/bachelor-artificial-intelligence-sliit-international,data_ingestion/deakin/output/raw_html/course__bachelor-artificial-intelligence-sliit-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-artificial-intelligence-sliit-international.txt,17139,saved,course
https://www.deakin.edu.au/course/bachelor-arts-bachelor-information-technology-international,data_ingestion/deakin/output/raw_html/course__bachelor-arts-bachelor-information-technology-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-arts-bachelor-information-technology-international.txt,22515,saved,course
https://www.deakin.edu.au/course/bachelor-arts-bachelor-laws-international,data_ingestion/deakin/output/raw_html/course__bachelor-arts-bachelor-laws-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-arts-bachelor-laws-international.txt,23194,saved,course
https://www.deakin.edu.au/course/bachelor-arts-bachelor-science-international,data_ingestion/deakin/output/raw_html/course__bachelor-arts-bachelor-science-international.html,data_ingestion/deakin/output/clean_text/course__bachelor-arts-bachelor-science-international.txt,24106,saved,course
